update,mean_intval,count,uninfected_host_count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.026021,2500,932,119,104,125,114,131,108,114,103,139,128,142,137,145,131,120,124,103,143,144,126
100,0.026162,2500,933,118,104,125,114,131,108,115,104,139,128,141,137,145,131,120,124,103,143,144,126
200,0.0256195,2500,933,118,104,125,114,131,109,116,104,139,128,140,137,145,131,120,123,103,143,144,126
300,0.0248062,2500,930,118,104,125,114,131,110,117,105,138,128,140,137,144,131,120,123,103,143,144,125
400,0.0239914,2500,927,118,104,125,114,131,111,118,106,138,128,140,135,144,131,120,123,102,143,144,125
500,0.0230246,2500,927,117,104,125,114,131,113,120,108,137,127,140,135,144,129,120,123,102,142,144,125
600,0.0228361,2500,923,116,104,125,114,131,114,121,108,137,127,140,135,144,129,120,123,102,141,144,125
700,0.0221912,2500,921,116,104,125,114,131,115,121,109,137,127,139,135,144,129,120,123,102,141,144,124
800,0.0225808,2500,918,115,104,125,113,131,115,122,110,137,127,139,135,144,129,120,123,102,141,144,124
900,0.0220536,2500,920,114,103,125,113,131,117,124,112,136,127,138,135,144,129,119,123,102,140,144,124
1000,0.0221678,2500,916,114,102,125,113,131,118,124,113,135,127,138,135,144,129,119,123,102,140,144,124
