update,host_task_SQU,sym_task_SQU,host_largest_value_SQU,sym_largest_value_SQU
0,0,0,0,0
100,143,23,4.29484e+09,4.29484e+09
200,211,13,4.29484e+09,4.29484e+09
300,206,17,4.29484e+09,4.29484e+09
400,207,18,4.29484e+09,4.29484e+09
500,209,15,4.29484e+09,4.29484e+09
600,207,10,4.29484e+09,4.29484e+09
700,206,16,4.29484e+09,4.29484e+09
800,208,10,4.29484e+09,4.29484e+09
900,208,13,4.29484e+09,4.29484e+09
1000,205,11,4.29484e+09,4.29484e+09
