update,host_task_SQU,sym_task_SQU,largest_value_SQU
0,0,0,0
100,141,16,2.87966e+11
200,193,4,4.29471e+11
300,208,5,4.29471e+11
400,208,4,4.29471e+11
500,206,6,4.29471e+11
600,208,2,4.29471e+11
700,207,6,4.29471e+11
800,207,2,4.29471e+11
900,209,7,4.29471e+11
1000,211,3,4.29471e+11
