update,mean_intval,count,uninfected_host_count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.00116154,2500,921,109,133,124,129,133,133,145,109,113,105,120,122,125,145,140,134,131,101,116,133
100,0.00029278,2500,922,109,135,124,129,133,133,144,109,113,105,120,122,125,145,140,134,131,101,115,133
200,2.5991e-05,2500,923,108,137,124,129,133,133,144,109,113,105,119,122,125,145,140,134,131,101,115,133
300,-0.000845495,2500,924,108,138,124,129,134,133,144,109,113,105,119,122,124,145,140,133,131,101,115,133
400,-0.00178017,2500,924,108,140,124,129,134,133,144,109,113,104,119,122,124,145,140,133,131,101,114,133
500,-0.00303369,2500,922,108,143,124,129,135,133,143,109,113,103,119,122,123,144,140,133,131,101,114,133
600,-0.00351519,2500,923,108,145,124,128,136,133,142,109,113,103,118,122,123,144,140,133,131,101,114,133
700,-0.00413266,2500,923,107,147,124,128,137,133,141,109,113,103,118,122,123,144,140,133,130,101,114,133
800,-0.00505708,2500,923,107,149,123,128,138,133,141,109,113,103,118,122,123,143,140,132,130,101,114,133
900,-0.00679218,2500,925,107,153,123,127,140,133,140,108,112,103,118,122,123,142,140,132,130,101,114,132
1000,-0.00820611,2500,925,107,155,123,127,141,133,140,108,112,103,118,122,122,142,140,130,130,101,114,132
