update,host_task_SQU,sym_task_SQU,host_largest_value_SQU,sym_largest_value_SQU
0,0,0,0,0
100,182,20,4.29484e+09,4.29484e+09
200,206,10,4.29484e+09,4.29484e+09
300,208,9,4.29484e+09,4.29484e+09
400,207,10,4.29484e+09,4.29484e+09
500,208,9,4.29484e+09,4.29484e+09
600,209,8,4.29484e+09,4.29484e+09
700,208,10,4.29484e+09,4.29484e+09
800,211,8,4.29484e+09,4.29484e+09
900,210,7,4.29484e+09,4.29484e+09
1000,207,8,4.29484e+09,4.29484e+09
