update,mean_intval,count,uninfected_host_count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.0114602,2500,908,127,130,117,133,126,111,100,123,134,112,128,130,115,136,136,130,127,133,119,133
100,0.0114099,2500,908,127,130,117,133,126,112,100,123,133,112,128,130,115,136,136,130,126,134,119,133
200,0.0110346,2500,909,127,130,117,133,126,113,100,123,133,112,128,130,114,136,136,130,126,135,119,132
300,0.0118775,2500,910,126,129,117,133,126,113,101,123,133,112,128,130,114,136,136,130,126,136,119,132
400,0.0112681,2500,912,126,129,117,133,126,114,102,123,133,112,128,130,114,135,136,129,125,137,119,132
500,0.0109402,2500,916,126,128,117,133,126,116,104,123,132,111,127,130,114,135,136,129,125,139,117,132
600,0.0107611,2500,918,126,128,117,133,126,117,105,123,131,110,127,130,114,135,136,128,125,140,117,132
700,0.0101426,2500,917,126,128,117,133,126,118,106,123,131,110,126,130,114,135,136,127,125,141,116,132
800,0.0104854,2500,918,126,127,117,133,126,118,107,123,131,110,126,130,114,134,136,127,125,142,116,132
900,0.0109485,2500,922,126,125,117,132,126,120,109,123,131,110,126,129,113,134,136,127,125,143,116,132
1000,0.0106312,2500,922,126,125,117,132,126,121,110,122,131,110,126,128,113,134,136,127,125,144,115,132
