update,mean_intval,count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.0112448,1592,78,69,72,90,67,90,84,76,74,89,67,75,89,74,94,79,84,75,103,63
100,0.0108653,1593,78,69,72,90,67,90,84,77,75,89,66,75,89,74,94,79,84,75,103,63
200,0.00929136,1592,78,69,72,90,68,90,84,77,76,88,66,75,89,74,94,79,84,75,102,62
300,0.00858276,1594,78,69,72,90,69,90,84,78,77,88,65,75,89,74,94,79,84,75,102,62
400,0.00748601,1594,78,69,72,90,70,90,84,78,78,88,64,75,89,74,94,79,84,75,102,61
500,0.00574884,1592,78,68,72,90,72,90,84,78,80,88,63,75,88,74,92,79,84,75,101,61
600,0.00465962,1593,78,68,72,90,73,90,84,78,82,88,63,75,88,72,92,79,84,75,101,61
700,0.00338957,1595,78,68,72,90,74,90,84,79,84,88,62,75,88,72,92,79,84,74,101,61
800,0.00279112,1595,78,68,71,90,75,90,84,79,86,87,62,75,88,72,92,79,84,73,101,61
900,0.0016998,1596,77,68,70,90,77,90,84,79,90,87,62,74,88,72,91,79,84,73,101,60
1000,0.000852839,1598,77,68,70,90,78,90,84,79,92,87,62,74,88,72,90,79,84,73,101,60
