update,mean_intval,count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.00894488,1568,71,85,70,84,71,85,87,78,72,66,80,76,86,76,74,70,94,75,88,80
100,0.010412,1567,71,84,70,84,70,85,87,78,72,66,80,76,86,76,74,70,94,75,89,80
200,0.00972594,1567,74,83,69,84,70,85,86,78,72,66,80,76,86,76,74,70,94,75,89,80
300,0.00755905,1570,78,83,69,84,69,85,86,78,72,66,80,76,86,76,74,70,94,75,89,80
400,0.00637325,1573,82,83,69,83,69,85,86,78,71,66,80,76,86,75,74,70,94,75,91,80
500,0.0039086,1573,86,83,69,82,69,85,85,78,71,66,79,76,86,75,74,70,94,75,90,80
600,0.000659021,1577,91,83,69,82,69,85,85,78,71,66,79,76,85,75,74,70,94,75,90,80
700,0.000538379,1579,92,83,69,82,69,85,85,78,71,66,79,76,85,75,74,70,94,75,91,80
800,-0.00214805,1582,96,83,69,82,69,85,85,78,71,66,79,76,85,74,74,70,94,75,91,80
900,-0.00379451,1580,98,83,69,82,69,84,84,78,71,66,79,76,85,74,74,70,93,74,91,80
1000,-0.00626076,1584,102,83,69,82,69,84,84,78,71,66,79,76,85,74,74,70,93,74,91,80
