update,host_task_SQU,sym_task_SQU,host_largest_value_SQU,sym_largest_value_SQU
0,0,0,0,0
100,129,23,4.29484e+09,4.29484e+09
200,206,20,4.29484e+09,4.29484e+09
300,211,28,4.29484e+09,4.29484e+09
400,205,32,4.29484e+09,4.29484e+09
500,209,32,4.29484e+09,4.29484e+09
600,208,25,4.29484e+09,4.29484e+09
700,205,33,4.29484e+09,4.29484e+09
800,208,26,4.29484e+09,4.29484e+09
900,208,35,4.29484e+09,4.29484e+09
1000,211,27,4.29484e+09,4.29484e+09
