update,mean_intval,count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.0043176,1579,61,81,76,84,82,72,84,96,82,80,74,81,83,82,76,59,80,87,70,89
100,0.00336918,1579,61,81,76,84,82,72,85,97,82,80,74,81,83,82,74,59,80,87,70,89
200,0.00326693,1579,61,81,76,84,82,72,86,97,81,80,74,81,83,82,74,59,80,87,70,89
300,0.00315126,1581,61,81,76,83,82,72,87,99,81,80,74,81,83,82,74,59,80,87,70,89
400,0.00348344,1581,61,81,76,83,80,72,88,100,81,80,74,81,83,82,74,59,80,87,70,89
500,0.00280264,1581,61,81,76,83,80,72,89,101,81,80,73,81,83,82,73,59,80,87,70,89
600,0.00285295,1580,61,80,76,83,80,71,90,102,81,80,73,81,83,82,73,59,79,87,70,89
700,0.00202097,1582,61,80,76,83,80,71,91,104,81,80,73,81,83,82,72,59,79,87,70,89
800,0.00194276,1582,61,80,75,83,80,71,92,105,81,80,73,81,83,81,72,59,79,87,70,89
900,0.000345851,1581,61,80,75,83,79,71,94,107,80,80,73,81,82,81,72,59,79,87,69,88
1000,0.000924008,1580,61,79,75,83,78,71,95,108,79,80,73,81,82,81,72,59,79,87,69,88
