update,host_square_frequencies
0,
100,4: 42; 9: 1; 16: 93; 25: 1; 64: 3; 576: 1; 1024: 1; 1600: 1; 65536: 1; 102400: 1; 1073741824: 2; 1702222564: 1; 2621440000: 1; 2626972516: 1; 3169690000: 1; 4294705156: 1; 
200,4: 76; 9: 1; 16: 212; 25: 1; 64: 3; 576: 1; 1024: 1; 1600: 1; 65536: 1; 102400: 1; 150994944: 1; 1073741824: 2; 1332761049: 1; 1702222564: 1; 2621440000: 1; 2626972516: 1; 3169690000: 1; 4294705156: 2; 
300,4: 109; 9: 1; 16: 378; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 102400: 1; 24532209: 1; 150994944: 1; 232989696: 1; 893053456: 1; 1073741824: 3; 1332761049: 1; 1702222564: 1; 2621440000: 1; 2626972516: 1; 3169690000: 1; 4294705156: 4; 
400,4: 143; 9: 1; 16: 548; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 102400: 1; 24532209: 1; 150994944: 1; 232989696: 1; 893053456: 1; 1073741824: 3; 1332761049: 1; 1702222564: 1; 2621440000: 1; 2626972516: 1; 3169690000: 1; 4294705156: 5; 
500,4: 178; 9: 1; 16: 719; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 102400: 1; 24532209: 1; 150994944: 1; 232989696: 1; 246364416: 1; 670861801: 1; 893053456: 1; 1073741824: 3; 1332761049: 1; 1702222564: 1; 2621440000: 1; 2626972516: 1; 3050242441: 1; 3169690000: 1; 4294705156: 6; 
600,4: 212; 9: 1; 16: 889; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 102400: 1; 24532209: 1; 150994944: 1; 205893801: 1; 232989696: 1; 246364416: 1; 373455625: 1; 670861801: 1; 893053456: 1; 1073741824: 3; 1332761049: 1; 1702222564: 1; 2621440000: 1; 2626972516: 1; 3050242441: 1; 3169690000: 1; 4294705156: 8; 
700,4: 246; 9: 1; 16: 1060; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 102400: 1; 24532209: 1; 106915600: 1; 150994944: 1; 205893801: 1; 232989696: 1; 246364416: 1; 373455625: 1; 670861801: 1; 893053456: 1; 1073741824: 3; 1332761049: 1; 1702222564: 1; 2621440000: 1; 2626972516: 1; 3050242441: 1; 3169690000: 1; 3415584249: 1; 4294705156: 9; 
800,4: 281; 9: 1; 16: 1231; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 102400: 1; 24532209: 1; 106915600: 1; 150994944: 1; 205893801: 1; 232989696: 1; 246364416: 1; 373455625: 1; 670861801: 1; 893053456: 1; 1073741824: 3; 1332761049: 1; 1702222564: 1; 2621440000: 1; 2626972516: 1; 3050242441: 1; 3169690000: 1; 3340840000: 1; 3415584249: 1; 4294705156: 10; 
900,4: 315; 9: 1; 16: 1402; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 102400: 1; 24532209: 1; 46457856: 1; 106915600: 1; 150994944: 1; 205893801: 1; 232989696: 1; 246364416: 1; 373455625: 1; 670861801: 1; 893053456: 1; 1073741824: 3; 1332761049: 1; 1702222564: 1; 2621440000: 1; 2626972516: 1; 3050242441: 1; 3169690000: 1; 3340840000: 1; 3415584249: 1; 4294705156: 12; 
1000,4: 349; 9: 1; 16: 1573; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 102400: 1; 24532209: 1; 46457856: 1; 106915600: 1; 150994944: 1; 205893801: 1; 232989696: 1; 246364416: 1; 373455625: 1; 670861801: 1; 893053456: 1; 1073741824: 3; 1332761049: 1; 1702222564: 1; 2621440000: 1; 2626972516: 1; 3050242441: 1; 3169690000: 1; 3340840000: 1; 3415584249: 1; 4294705156: 13; 
