update,host_task_SQU,sym_task_SQU,largest_value_SQU
0,0,0,0
100,181,25,3.71504e+11
200,208,14,4.29484e+11
300,210,14,4.29484e+11
400,207,17,4.29484e+11
500,210,12,4.29484e+11
600,221,9,4.29484e+11
700,236,14,4.29484e+11
800,238,17,4.29484e+11
900,239,17,4.29484e+11
1000,238,19,4.29484e+11
