update,host_square_frequencies
0,
100,4: 42; 9: 1; 16: 93; 25: 1; 64: 3; 576: 1; 1024: 1; 1600: 1; 65536: 1; 102400: 1; 1073741824: 2; 1702222564: 1; 2621440000: 1; 2626972516: 1; 4294705156: 1; 
200,4: 76; 9: 1; 16: 212; 25: 1; 64: 3; 576: 1; 1024: 1; 1600: 1; 65536: 1; 102400: 1; 55115776: 1; 150994944: 1; 1073741824: 2; 1702222564: 1; 2621440000: 1; 2626972516: 1; 4294705156: 2; 
300,4: 109; 9: 1; 16: 332; 25: 1; 64: 3; 576: 1; 1024: 1; 1600: 1; 65536: 1; 102400: 1; 55115776: 1; 150994944: 1; 1073741824: 2; 1702222564: 1; 1774262884: 1; 2415919104: 2; 2621440000: 1; 2626972516: 1; 3322600164: 1; 4294705156: 4; 
400,4: 142; 9: 1; 16: 478; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 102400: 1; 1901641: 1; 55115776: 1; 150994944: 1; 233325625: 1; 268435456: 1; 1073741824: 2; 1212153856: 1; 1702222564: 1; 1734555904: 1; 1774262884: 1; 2415919104: 2; 2621440000: 1; 2626972516: 1; 3322600164: 1; 4294705156: 5; 
500,4: 176; 9: 1; 16: 648; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 102400: 1; 1901641: 1; 55115776: 1; 150994944: 1; 233325625: 1; 268435456: 1; 1073741824: 2; 1212153856: 1; 1702222564: 1; 1734555904: 1; 1774262884: 1; 2415919104: 2; 2621440000: 1; 2626972516: 1; 3322600164: 1; 4294705156: 6; 
600,4: 209; 9: 1; 16: 819; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 102400: 1; 1901641: 1; 55115776: 1; 96432400: 1; 150994944: 1; 233325625: 1; 268435456: 1; 948578401: 1; 1073741824: 2; 1212153856: 1; 1702222564: 1; 1734555904: 1; 1774262884: 1; 2332503616: 1; 2415919104: 2; 2621440000: 1; 2626972516: 1; 3322600164: 1; 4294705156: 8; 
700,4: 242; 9: 1; 16: 990; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 102400: 1; 1901641: 1; 55115776: 1; 96432400: 1; 150994944: 1; 233325625: 1; 268435456: 1; 948578401: 1; 1034973241: 1; 1073741824: 2; 1212153856: 1; 1702222564: 1; 1734555904: 1; 1774262884: 1; 2332503616: 1; 2415919104: 2; 2621440000: 1; 2626972516: 1; 3322600164: 1; 4294705156: 9; 
800,4: 277; 9: 1; 16: 1160; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 102400: 1; 1901641: 1; 55115776: 1; 96432400: 1; 129504400: 1; 150994944: 1; 233325625: 1; 268435456: 1; 948578401: 1; 1034973241: 1; 1073741824: 2; 1212153856: 1; 1702222564: 1; 1734555904: 1; 1774262884: 1; 2332503616: 1; 2415919104: 2; 2621440000: 1; 2626972516: 1; 3322600164: 1; 4294705156: 10; 
900,4: 310; 9: 1; 16: 1332; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 102400: 1; 1901641: 1; 55115776: 1; 96432400: 1; 129504400: 1; 150994944: 1; 233325625: 1; 268435456: 1; 948578401: 1; 1029575569: 1; 1034973241: 1; 1073741824: 19; 1212153856: 1; 1702222564: 1; 1734555904: 1; 1774262884: 1; 2332503616: 1; 2415919104: 2; 2621440000: 1; 2626972516: 1; 3322600164: 1; 4294705156: 12; 
1000,4: 343; 9: 1; 16: 1502; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 102400: 1; 1901641: 1; 55115776: 1; 96432400: 1; 129504400: 1; 150994944: 1; 233325625: 1; 268435456: 1; 426050881: 1; 513022500: 1; 948578401: 1; 1029575569: 1; 1034973241: 1; 1073741824: 39; 1212153856: 1; 1702222564: 1; 1734555904: 1; 1774262884: 1; 1891119169: 1; 2332503616: 1; 2415919104: 2; 2621440000: 1; 2626972516: 1; 3322600164: 1; 4294705156: 13; 
