update,host_task_SQU,sym_task_SQU,largest_value_SQU
0,0,0,0
100,157,26,3.71504e+11
200,166,14,4.29484e+11
300,211,13,4.29484e+11
400,208,16,4.29484e+11
500,213,14,4.29484e+11
600,240,7,4.29484e+11
700,237,13,4.29484e+11
800,238,11,4.29484e+11
900,240,36,4.29484e+11
1000,236,40,4.29484e+11
