update,host_task_SQU,sym_task_SQU,largest_value_SQU
0,0,0,0
100,125,24,2.87445e+11
200,188,9,4.29471e+11
300,217,7,4.29471e+11
400,212,7,4.29471e+11
500,209,8,4.29475e+11
600,208,3,4.29484e+11
700,207,6,4.29484e+11
800,208,3,4.29484e+11
900,207,7,4.29484e+11
1000,207,2,4.29484e+11
