update,mean_intval,count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,-0.00298745,1597,94,72,65,82,77,105,71,87,72,78,62,76,82,88,99,76,87,85,62,77
100,-0.00206295,1597,94,71,65,83,76,105,71,87,72,78,62,77,81,88,99,76,87,85,63,77
200,-0.0022053,1599,94,71,65,84,76,105,71,87,72,78,62,78,81,88,99,75,87,85,64,77
300,-0.0020279,1600,94,71,65,85,76,104,71,87,72,78,62,79,81,88,98,75,87,85,65,77
400,-0.00129745,1600,94,71,64,86,76,104,71,86,72,78,62,79,81,88,98,75,87,85,66,77
500,-0.00060886,1603,94,71,64,87,76,104,71,85,72,78,62,81,81,87,98,75,87,85,68,77
600,-0.000244674,1605,94,71,64,88,76,104,70,85,72,78,62,82,81,87,98,75,87,85,69,77
700,-0.000328225,1606,94,71,64,89,76,104,69,85,72,78,62,83,81,87,98,75,87,84,70,77
800,-0.000214657,1608,94,71,64,90,76,104,69,85,72,78,61,84,81,87,98,75,87,84,71,77
900,0.000606331,1610,93,71,63,93,76,104,68,85,72,78,60,86,81,87,97,75,87,84,73,77
1000,-4.62555e-05,1611,93,70,63,95,76,104,68,85,72,78,60,87,81,87,97,75,86,84,73,77
