update,mean_intval,count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,-0.0103055,1582,73,80,90,83,79,63,76,89,82,80,74,77,104,71,92,76,77,73,79,64
100,-0.0111845,1581,73,80,90,83,79,63,76,89,82,80,74,77,105,71,92,76,77,72,79,63
200,-0.0115532,1580,73,80,90,83,79,63,76,89,82,80,74,77,106,71,90,76,77,72,79,63
300,-0.0117184,1581,73,81,90,83,79,63,76,88,82,80,74,77,107,71,90,76,77,72,79,63
400,-0.0119611,1581,73,82,90,83,78,63,76,88,82,80,74,77,108,70,90,76,77,72,79,63
500,-0.0111047,1580,73,81,90,83,78,63,75,88,82,80,74,77,110,70,89,76,77,72,79,63
600,-0.0113724,1579,73,81,90,83,78,63,75,88,82,80,74,77,110,70,88,76,77,72,79,63
700,-0.0100229,1577,73,80,90,83,77,62,75,88,82,80,74,77,111,70,88,76,77,72,79,63
800,-0.00970483,1576,73,80,90,83,76,62,75,88,82,80,74,77,112,69,88,76,77,72,79,63
900,-0.00893855,1574,73,79,89,83,76,62,75,88,82,80,74,77,114,68,88,75,77,72,79,63
1000,-0.00934231,1574,73,79,89,83,76,62,75,88,82,80,74,77,115,68,88,75,77,72,79,62
