update,mean_intval,count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.00894488,1568,71,85,70,84,71,85,87,78,72,66,80,76,86,76,74,70,94,75,88,80
100,0.00976037,1570,71,85,70,84,71,85,87,78,72,66,80,76,86,77,74,69,95,75,89,80
200,0.00915912,1573,74,84,70,84,71,85,87,78,71,66,80,76,86,78,74,69,96,75,89,80
300,0.0088289,1577,77,84,70,84,70,85,87,78,71,65,80,76,86,79,74,69,97,75,90,80
400,0.00893933,1583,80,84,70,83,70,85,87,78,71,65,80,76,86,80,74,69,99,75,91,80
500,0.00750011,1589,85,83,70,83,70,85,86,78,71,65,80,76,86,82,73,69,102,75,90,80
600,0.00647815,1592,87,83,70,83,70,85,86,78,71,65,80,76,86,83,73,69,102,75,90,80
700,0.00683403,1594,88,83,70,83,69,85,86,78,71,65,80,76,86,84,73,69,104,74,90,80
800,0.00607313,1597,91,83,70,82,69,85,86,78,71,64,80,76,86,85,73,69,105,74,90,80
900,0.00893275,1601,91,83,70,82,68,85,85,78,71,64,80,76,86,87,73,69,107,74,92,80
1000,0.00934315,1604,92,83,70,82,68,85,85,78,71,64,79,76,86,88,73,69,109,74,92,80
