update,mean_intval,count,uninfected_host_count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.0114602,2500,908,127,130,117,133,126,111,100,123,134,112,128,130,115,136,136,130,127,133,119,133
100,0.0109755,2500,907,127,130,117,133,126,112,100,123,134,112,128,130,115,136,136,130,126,134,119,132
200,0.0112157,2500,908,127,129,117,132,126,113,101,123,134,112,128,130,115,136,136,130,126,134,119,132
300,0.0108972,2500,906,127,129,117,132,126,114,101,123,134,112,128,130,115,136,136,128,126,135,119,132
400,0.010967,2500,906,127,129,116,132,126,115,102,123,134,112,127,130,115,136,136,127,126,136,119,132
500,0.0103937,2500,908,127,129,116,132,126,117,104,123,133,111,125,130,115,136,136,126,126,138,118,132
600,0.0105895,2500,907,126,129,116,132,126,118,105,123,133,110,125,130,114,136,136,126,126,140,117,132
700,0.0107472,2500,905,126,129,115,132,126,119,106,123,133,109,125,129,114,136,136,126,126,142,117,131
800,0.0109812,2500,905,126,128,115,132,126,120,107,122,133,109,125,129,114,135,136,126,126,143,117,131
900,0.012066,2500,904,125,128,114,132,125,121,109,122,133,109,125,127,114,135,135,125,126,147,117,131
1000,0.0115091,2500,902,125,128,114,132,124,122,110,122,133,109,125,127,114,135,135,125,126,148,116,130
