update,host_task_SQU,sym_task_SQU,largest_value_SQU
0,0,0,0
100,140,16,2.87966e+11
200,151,4,4.29471e+11
300,198,5,4.29471e+11
400,208,7,4.29471e+11
500,207,7,4.29471e+11
600,211,1,4.29471e+11
700,208,5,4.29471e+11
800,209,0,4.29471e+11
900,211,4,4.29471e+11
1000,207,2,4.29471e+11
