update,mean_intval,count,uninfected_host_count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,-0.00709129,2500,921,128,136,127,108,140,129,111,131,126,130,103,138,134,122,139,98,131,120,128,121
100,-0.00706032,2500,921,128,136,127,108,140,131,111,129,126,129,103,138,134,122,139,99,131,120,128,121
200,-0.00701668,2500,921,128,136,127,108,139,133,111,129,126,129,101,138,134,122,139,100,131,120,128,121
300,-0.00751573,2500,919,128,136,127,108,139,135,111,129,126,128,100,138,134,122,139,101,131,120,128,120
400,-0.00716943,2500,919,128,136,127,107,138,137,111,129,126,127,100,138,134,122,139,102,131,120,128,120
500,-0.00700227,2500,919,127,135,127,107,138,141,111,129,125,126,100,138,134,121,139,103,131,120,128,120
600,-0.00704873,2500,920,126,135,127,107,138,143,111,129,125,126,99,138,134,121,139,104,130,120,128,120
700,-0.00647156,2500,918,125,135,127,107,137,145,110,129,125,126,99,138,134,121,139,105,130,120,128,120
800,-0.0069429,2500,918,125,135,127,107,136,147,110,129,125,126,99,138,134,121,139,105,130,120,127,120
900,-0.00725077,2500,919,125,135,126,106,135,151,110,129,125,126,99,138,134,121,139,107,128,119,127,120
1000,-0.00749467,2500,920,125,135,125,106,135,153,110,129,125,125,99,138,134,121,139,108,128,119,127,119
