update,host_square_frequencies
0,
100,4: 42; 9: 1; 16: 86; 25: 1; 64: 3; 576: 1; 1024: 2; 1600: 1; 65536: 2; 1073741824: 3; 4294705156: 1; 
200,4: 76; 9: 1; 16: 257; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 467078544: 1; 1073741824: 3; 4294705156: 2; 
300,4: 109; 9: 1; 16: 428; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 185640625: 1; 467078544: 1; 1073741824: 3; 2586129316: 1; 4294705156: 4; 
400,4: 142; 9: 1; 16: 598; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 1901641: 1; 185640625: 1; 467078544: 1; 1073741824: 3; 1549367044: 1; 2586129316: 1; 4294705156: 5; 
500,4: 176; 9: 1; 16: 769; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 1901641: 1; 5982916: 1; 185640625: 1; 224250625: 1; 467078544: 1; 1073741824: 3; 1549367044: 1; 1841783056: 1; 2586129316: 1; 4294705156: 6; 
600,4: 210; 9: 1; 16: 940; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 1901641: 1; 5982916: 1; 185640625: 1; 224250625: 1; 467078544: 1; 1073741824: 3; 1549367044: 1; 1841783056: 1; 2586129316: 1; 4294705156: 8; 
700,4: 243; 9: 1; 16: 1111; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 1901641: 1; 5982916: 1; 185640625: 1; 198471744: 1; 224250625: 1; 398561296: 1; 467078544: 1; 1073741824: 3; 1549367044: 1; 1749330625: 1; 1841783056: 1; 2188742656: 1; 2586129316: 1; 2690704384: 1; 3273670656: 1; 4294705156: 9; 
800,4: 277; 9: 1; 16: 1282; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 1901641: 1; 5982916: 1; 185640625: 1; 198471744: 1; 224250625: 1; 398561296: 1; 467078544: 1; 614841616: 1; 1073741824: 3; 1549367044: 1; 1749330625: 1; 1841783056: 1; 2188742656: 1; 2586129316: 1; 2690704384: 1; 3273670656: 1; 4294705156: 10; 
900,4: 311; 9: 1; 16: 1453; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 1901641: 1; 5982916: 1; 185640625: 1; 198471744: 1; 224250625: 1; 398561296: 1; 467078544: 1; 614841616: 1; 1073741824: 3; 1128153744: 1; 1549367044: 1; 1749330625: 1; 1822265344: 1; 1841783056: 1; 2188742656: 1; 2586129316: 1; 2690704384: 1; 3273670656: 1; 4294705156: 12; 
1000,4: 344; 9: 1; 16: 1623; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 1901641: 1; 5982916: 1; 61653904: 1; 185640625: 1; 198471744: 1; 224250625: 1; 398561296: 1; 467078544: 1; 614841616: 1; 1073741824: 3; 1128153744: 1; 1549367044: 1; 1749330625: 1; 1822265344: 1; 1841783056: 1; 2188742656: 1; 2586129316: 1; 2690704384: 1; 3273670656: 1; 4294705156: 13; 
