update,mean_intval,count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,-0.00807953,1579,85,90,82,85,80,75,84,71,69,63,75,84,76,71,87,84,88,76,70,84
100,-0.00831508,1578,85,90,82,85,80,75,83,72,69,63,75,84,76,71,86,84,88,76,70,84
200,-0.0073664,1577,84,89,82,85,80,75,83,73,69,63,75,84,76,71,86,84,88,76,70,84
300,-0.00740996,1576,84,88,82,85,80,75,83,74,69,63,75,84,76,71,86,84,88,75,70,84
400,-0.00877651,1576,84,88,82,85,80,75,83,75,69,64,75,84,76,71,86,84,88,75,70,82
500,-0.00903587,1578,84,88,82,85,80,75,83,77,69,64,75,84,76,71,86,84,88,75,70,82
600,-0.00920467,1577,84,88,81,85,80,75,83,78,69,64,75,84,76,71,86,84,88,74,70,82
700,-0.0105372,1577,84,88,81,85,80,75,83,79,69,65,75,84,76,71,86,84,88,74,69,81
800,-0.0106205,1577,84,88,81,85,80,75,83,80,69,64,75,84,76,71,86,84,88,74,69,81
900,-0.0116293,1575,84,88,81,85,80,75,83,81,69,64,75,84,74,71,86,84,88,74,68,81
1000,-0.0118187,1575,84,88,81,85,80,75,83,82,69,64,74,84,74,71,86,84,88,74,68,81
