update,host_task_SQU,sym_task_SQU,host_largest_value_SQU,sym_largest_value_SQU
0,0,0,0,0
100,183,20,4.29484e+09,4.29484e+09
200,207,9,4.29484e+09,4.29484e+09
300,208,9,4.29484e+09,4.29484e+09
400,206,9,4.29484e+09,4.29484e+09
500,209,10,4.29484e+09,4.29484e+09
600,208,7,4.29484e+09,4.29484e+09
700,206,12,4.29484e+09,4.29484e+09
800,208,8,4.29484e+09,4.29484e+09
900,235,8,4.29484e+09,4.29484e+09
1000,238,10,4.29484e+09,4.29484e+09
