update,host_square_frequencies
0,
100,4: 42; 9: 1; 16: 120; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 5329: 1; 65536: 2; 1119364: 1; 1073741824: 4; 1702222564: 1; 2078630464: 1; 4294705156: 1; 
200,4: 76; 9: 1; 16: 290; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 5329: 1; 65536: 2; 1119364: 1; 1073741824: 4; 1332761049: 1; 1702222564: 1; 2078630464: 1; 2444115844: 1; 4294705156: 2; 
300,4: 109; 9: 1; 16: 461; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 5329: 1; 65536: 2; 1119364: 1; 24532209: 1; 573698304: 1; 1073741824: 4; 1332761049: 1; 1702222564: 1; 2078630464: 1; 2444115844: 1; 4294705156: 4; 
400,4: 142; 9: 1; 16: 632; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 5329: 1; 65536: 2; 1119364: 1; 24532209: 1; 573698304: 1; 1073741824: 4; 1332761049: 1; 1702222564: 1; 2078630464: 1; 2444115844: 1; 2984546161: 1; 4294705156: 5; 
500,4: 176; 9: 1; 16: 802; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 5329: 1; 65536: 2; 1119364: 1; 5982916: 1; 21669025: 1; 24532209: 1; 573698304: 1; 1073741824: 4; 1110755584: 1; 1332761049: 1; 1702222564: 1; 2078630464: 1; 2444115844: 1; 2984546161: 1; 3314189761: 1; 4294705156: 6; 
600,4: 209; 9: 1; 16: 974; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 5329: 1; 65536: 2; 1119364: 1; 5982916: 1; 21669025: 1; 24532209: 1; 171819664: 1; 573698304: 1; 1073741824: 4; 1110755584: 1; 1332761049: 1; 1702222564: 1; 2078630464: 1; 2444115844: 1; 2984546161: 1; 3314189761: 1; 4294705156: 8; 
700,4: 242; 9: 1; 16: 1144; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 5329: 1; 65536: 2; 1119364: 1; 4129024: 1; 5982916: 1; 12588304: 1; 21669025: 1; 24532209: 1; 171819664: 1; 573698304: 1; 1073741824: 4; 1110755584: 1; 1332761049: 1; 1702222564: 1; 2078630464: 1; 2444115844: 1; 2984546161: 1; 3314189761: 1; 4294705156: 9; 
800,4: 276; 9: 1; 16: 1315; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 5329: 1; 65536: 2; 1119364: 1; 4129024: 1; 5982916: 1; 12588304: 1; 21669025: 1; 24532209: 1; 84566416: 1; 171819664: 1; 573698304: 1; 1073741824: 4; 1110755584: 1; 1332761049: 1; 1702222564: 1; 2078630464: 1; 2444115844: 1; 2767075609: 1; 2984546161: 1; 3314189761: 1; 4294705156: 10; 
900,4: 336; 9: 1; 16: 1486; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 5329: 1; 65536: 2; 1119364: 1; 4129024: 1; 5982916: 1; 11088900: 1; 12588304: 1; 21669025: 1; 24532209: 1; 84566416: 1; 171819664: 1; 573698304: 1; 709156900: 1; 1073741824: 4; 1110755584: 1; 1332761049: 1; 1702222564: 1; 2078630464: 1; 2444115844: 1; 2767075609: 1; 2984546161: 1; 3314189761: 1; 4294705156: 12; 
1000,4: 401; 9: 1; 16: 1657; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 5329: 1; 65536: 2; 1119364: 1; 4129024: 1; 5982916: 1; 11088900: 1; 12588304: 1; 21669025: 1; 24532209: 1; 84566416: 1; 171819664: 1; 573698304: 1; 709156900: 1; 1073741824: 4; 1110755584: 1; 1332761049: 1; 1702222564: 1; 2059072129: 1; 2078630464: 1; 2444115844: 1; 2767075609: 1; 2984546161: 1; 3314189761: 1; 4294705156: 13; 
