update,mean_intval,count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.00136826,1583,75,82,82,77,81,74,85,71,86,73,89,74,78,82,84,76,73,84,70,87
100,0.000220596,1584,75,82,82,78,82,74,84,71,87,73,89,74,78,82,84,76,73,83,70,87
200,-0.00130576,1585,75,82,82,79,83,74,84,71,88,73,88,74,78,82,84,76,73,83,70,86
300,-0.00210935,1587,75,82,82,80,84,74,84,71,88,73,88,74,78,82,84,76,73,83,70,86
400,-0.00291011,1589,75,82,82,81,85,74,84,71,88,73,88,74,78,82,84,76,73,83,70,86
500,-0.00554008,1590,75,82,82,83,87,74,84,71,89,72,87,74,78,82,84,75,73,83,69,86
600,-0.00657708,1589,75,82,82,83,88,74,84,71,89,72,87,73,78,82,84,75,73,83,68,86
700,-0.00738764,1591,75,82,82,84,89,74,84,71,89,72,87,73,78,82,84,75,73,83,68,86
800,-0.00770583,1590,75,82,82,83,90,74,84,71,90,71,87,73,78,82,83,75,73,83,68,86
900,-0.00785638,1590,73,82,82,84,92,74,84,71,90,71,87,72,78,82,83,75,73,83,68,86
1000,-0.00877227,1590,73,82,82,85,92,74,84,70,92,71,86,72,78,82,83,74,73,83,68,86
