update,mean_intval,count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.00284156,1573,83,75,72,72,75,96,78,79,73,74,94,84,72,68,78,68,90,88,75,79
100,0.00346442,1571,82,75,72,72,75,96,78,79,73,74,93,84,72,68,78,68,90,88,75,79
200,0.00346442,1571,82,75,72,72,75,96,78,79,73,74,93,84,72,68,78,68,90,88,75,79
300,0.00256696,1567,82,75,72,72,75,96,78,79,72,74,93,83,72,68,78,68,90,86,75,79
400,0.00173765,1564,82,75,72,72,75,96,78,79,72,74,92,83,72,68,77,68,90,85,75,79
500,0.0019504,1560,80,75,72,72,75,96,78,79,72,74,92,83,72,68,77,67,90,85,75,78
600,0.00146596,1558,80,75,72,72,75,96,78,79,72,74,92,83,71,68,76,67,90,85,75,78
700,0.00184409,1554,80,75,72,72,75,95,78,79,71,74,90,83,71,68,76,67,90,85,75,78
800,0.00109089,1551,80,75,72,72,75,95,78,79,71,74,90,83,69,68,76,67,89,85,75,78
900,0.000515356,1545,79,75,72,72,75,95,78,79,70,74,90,82,69,68,76,66,87,85,75,78
1000,0.000469022,1543,79,75,72,72,75,95,77,79,70,74,90,82,69,68,75,66,87,85,75,78
