update,host_task_SQU,sym_task_SQU,host_largest_value_SQU,sym_largest_value_SQU
0,0,0,0,0
100,130,23,4.29484e+09,4.29484e+09
200,213,20,4.29484e+09,4.29484e+09
300,223,26,4.29484e+09,4.29484e+09
400,224,29,4.29484e+09,4.29484e+09
500,224,28,4.29484e+09,4.29484e+09
600,226,23,4.29484e+09,4.29484e+09
700,225,29,4.29484e+09,4.29484e+09
800,226,24,4.29484e+09,4.29484e+09
900,226,26,4.29484e+09,4.29484e+09
1000,229,25,4.29484e+09,4.29484e+09
