update,host_square_frequencies
0,
100,4: 42; 9: 1; 16: 120; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 5329: 1; 65536: 2; 1119364: 1; 1073741824: 3; 1702222564: 1; 2078630464: 1; 4294705156: 1; 
200,4: 76; 9: 1; 16: 290; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 5329: 1; 65536: 2; 1119364: 1; 46840336: 1; 1073741824: 3; 1702222564: 1; 2078630464: 1; 4294705156: 2; 
300,4: 109; 9: 1; 16: 461; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 5329: 1; 65536: 2; 1119364: 1; 46840336: 1; 50395801: 1; 1073741824: 3; 1702222564: 1; 1774262884: 1; 2078630464: 1; 4294705156: 4; 
400,4: 143; 9: 1; 16: 632; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 5329: 1; 65536: 2; 1119364: 1; 19838116: 1; 46840336: 1; 50395801: 1; 1073741824: 3; 1702222564: 1; 1774262884: 1; 2078630464: 1; 4294705156: 5; 
500,4: 178; 9: 1; 16: 802; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 5329: 1; 65536: 2; 1119364: 1; 19838116: 1; 46840336: 1; 50395801: 1; 682672384: 1; 853574656: 1; 1073741824: 3; 1702222564: 1; 1774262884: 1; 2078630464: 1; 4294705156: 6; 
600,4: 212; 9: 1; 16: 974; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 5329: 1; 65536: 2; 1119364: 1; 19838116: 1; 46840336: 1; 50395801: 1; 682672384: 1; 853574656: 1; 1073741824: 3; 1702222564: 1; 1774262884: 1; 2078630464: 1; 3955529449: 1; 4294705156: 8; 
700,4: 246; 9: 1; 16: 1144; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 5329: 1; 65536: 2; 1119364: 1; 5740816: 1; 19838116: 1; 46840336: 1; 50395801: 1; 329967225: 1; 682672384: 1; 853574656: 1; 1073741824: 3; 1702222564: 1; 1774262884: 1; 2078630464: 1; 2934822276: 1; 3955529449: 1; 4294705156: 9; 
800,4: 281; 9: 1; 16: 1315; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 5329: 1; 65536: 2; 1119364: 1; 5740816: 1; 16000000: 1; 19838116: 1; 46840336: 1; 50395801: 1; 329967225: 1; 518017600: 1; 682672384: 1; 853574656: 1; 908057956: 1; 950920569: 1; 1073741824: 3; 1702222564: 1; 1774262884: 1; 2078630464: 1; 2934822276: 1; 3955529449: 1; 4294705156: 10; 
900,4: 315; 9: 1; 16: 1486; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 5329: 1; 65536: 2; 1119364: 1; 5740816: 1; 16000000: 1; 19838116: 1; 46840336: 1; 50395801: 1; 329967225: 1; 363474225: 1; 518017600: 1; 682672384: 1; 853574656: 1; 908057956: 1; 950920569: 1; 1073741824: 3; 1366854841: 1; 1702222564: 1; 1774262884: 1; 2078630464: 1; 2934822276: 1; 3955529449: 1; 4089218809: 1; 4294705156: 12; 
1000,4: 349; 9: 1; 16: 1656; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 5329: 1; 65536: 2; 1119364: 1; 5740816: 1; 16000000: 1; 19838116: 1; 46840336: 1; 50395801: 1; 329967225: 1; 363474225: 1; 518017600: 1; 682672384: 1; 853574656: 1; 908057956: 1; 950920569: 1; 1073741824: 3; 1366854841: 1; 1480710400: 1; 1702222564: 1; 1774262884: 1; 1859765625: 1; 2078630464: 1; 2934822276: 1; 3955529449: 1; 4089218809: 1; 4294705156: 13; 
