update,mean_intval,count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,-0.00298745,1597,94,72,65,82,77,105,71,87,72,78,62,76,82,88,99,76,87,85,62,77
100,-0.00370682,1595,94,72,65,82,77,105,71,87,72,78,62,76,81,88,99,76,87,85,62,76
200,-0.00333583,1594,94,72,65,82,76,105,71,87,72,78,62,76,81,88,99,76,87,85,62,76
300,-0.00351972,1592,94,72,65,82,76,105,71,86,72,78,62,76,81,88,99,75,87,85,62,76
400,-0.00423867,1590,94,72,65,82,76,105,71,86,72,78,62,76,81,88,98,75,86,85,62,76
500,-0.00419814,1587,94,72,64,82,76,105,71,86,72,78,62,76,80,88,97,75,86,85,62,76
600,-0.00447467,1585,94,72,64,82,76,105,71,86,72,78,62,75,80,87,97,75,86,85,62,76
700,-0.00506334,1583,94,72,64,82,76,105,71,86,72,78,62,74,80,87,97,75,86,84,62,76
800,-0.00514357,1582,94,72,64,82,76,105,71,86,72,78,62,73,80,87,97,75,86,84,62,76
900,-0.00553424,1576,94,72,64,81,76,105,71,85,71,78,62,73,80,85,97,75,86,84,61,76
1000,-0.00638755,1572,94,72,64,81,76,105,70,85,71,78,62,73,80,85,95,75,86,83,61,76
