update,mean_intval,count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.0063112,1580,79,80,68,88,79,73,84,77,75,78,81,73,81,88,70,88,68,85,87,78
100,0.0063112,1580,79,80,68,88,79,73,84,77,75,78,81,73,81,88,70,88,68,85,87,78
200,0.00592744,1578,79,80,68,88,79,73,84,77,75,78,81,73,80,87,70,88,68,85,87,78
300,0.00605451,1578,79,80,68,88,79,73,84,77,75,78,81,73,80,87,70,88,67,85,88,78
400,0.00813796,1577,78,80,68,88,79,73,83,77,75,77,81,73,80,87,70,88,67,85,90,78
500,0.00795718,1573,78,79,68,88,79,73,83,77,75,76,81,73,80,86,70,88,67,84,90,78
600,0.00790592,1572,78,79,68,88,79,73,83,77,75,76,80,73,80,86,70,88,67,84,90,78
700,0.00756836,1569,78,78,68,88,79,73,83,77,75,76,80,73,80,86,70,87,67,84,89,78
800,0.00847429,1567,78,77,68,88,78,73,83,77,75,76,80,73,80,86,70,87,67,84,89,78
900,0.00786901,1564,78,77,68,88,78,73,83,76,75,76,80,73,79,86,70,87,67,84,89,77
1000,0.00785477,1562,78,77,68,87,78,73,83,76,75,76,80,73,79,86,70,87,67,83,89,77
