update,host_task_SQU,sym_task_SQU,host_largest_value_SQU,sym_largest_value_SQU
0,0,0,0,0
100,152,22,4.29484e+09,4.29484e+09
200,156,15,4.29484e+09,4.29484e+09
300,208,14,4.29484e+09,4.29484e+09
400,205,16,4.29484e+09,4.29484e+09
500,210,12,4.29484e+09,4.29484e+09
600,208,7,4.29484e+09,4.29484e+09
700,208,12,4.29484e+09,4.29484e+09
800,208,9,4.29484e+09,4.29484e+09
900,208,13,4.29484e+09,4.29484e+09
1000,206,9,4.29484e+09,4.29484e+09
