update,host_task_SQU,sym_task_SQU,host_largest_value_SQU,sym_largest_value_SQU
0,0,0,0,0
100,163,23,4.29484e+09,4.29484e+09
200,208,12,4.29484e+09,4.29484e+09
300,264,12,4.29484e+09,4.29484e+09
400,303,9,4.29484e+09,4.29484e+09
500,308,12,4.29484e+09,4.29484e+09
600,310,9,4.29484e+09,4.29484e+09
700,308,8,4.29484e+09,4.29484e+09
800,266,9,4.29484e+09,4.29484e+09
900,241,10,4.29484e+09,4.29484e+09
1000,247,9,4.29484e+09,4.29484e+09
