update,mean_intval,count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.0112448,1592,78,69,72,90,67,90,84,76,74,89,67,75,89,74,94,79,84,75,103,63
100,0.0110277,1592,78,69,72,90,67,90,84,77,74,89,66,75,89,74,94,79,84,75,103,63
200,0.0117472,1591,78,68,72,89,67,90,84,78,74,89,66,75,89,74,94,79,84,75,103,63
300,0.0111571,1590,78,68,72,89,67,90,84,78,74,89,66,75,89,74,94,79,84,75,103,62
400,0.0110524,1588,78,68,72,88,67,90,84,79,74,89,65,75,89,74,93,79,84,75,103,62
500,0.0119451,1584,77,67,72,88,67,89,84,80,74,89,64,75,89,74,93,79,83,75,103,62
600,0.0111655,1582,77,67,72,88,67,89,84,80,74,89,64,75,88,74,93,79,83,75,103,61
700,0.0106578,1583,77,67,72,88,67,89,84,82,74,89,64,75,87,74,93,79,83,75,103,61
800,0.0110625,1582,77,67,72,87,67,89,84,82,74,89,64,75,87,74,93,79,83,75,103,61
900,0.0104836,1578,77,67,70,87,67,89,84,83,74,89,64,75,87,74,93,78,83,74,102,61
1000,0.0104836,1578,77,67,70,87,67,89,84,83,74,89,64,75,87,74,93,78,83,74,102,61
