update,host_task_SQU,sym_task_SQU,largest_value_SQU
0,0,0,0
100,150,17,2.68378e+11
200,176,6,4.29471e+11
300,210,5,4.29471e+11
400,206,3,4.29471e+11
500,210,2,4.29471e+11
600,239,1,4.29471e+11
700,238,3,4.29471e+11
800,242,3,4.29471e+11
900,239,2,4.29471e+11
1000,240,2,4.29471e+11
