update,host_task_SQU,sym_task_SQU,largest_value_SQU
0,0,0,0
100,157,26,3.71504e+11
200,194,14,4.29484e+11
300,210,12,4.29484e+11
400,204,18,4.29484e+11
500,208,17,4.29484e+11
600,207,8,4.29484e+11
700,208,15,4.29484e+11
800,207,11,4.29484e+11
900,207,12,4.29484e+11
1000,225,10,4.29484e+11
