update,mean_intval,count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.0043176,1579,61,81,76,84,82,72,84,96,82,80,74,81,83,82,76,59,80,87,70,89
100,0.00476663,1578,61,81,75,84,82,72,84,96,82,80,74,81,83,82,76,59,80,87,70,89
200,0.00421506,1575,61,81,75,84,82,72,84,96,81,80,74,81,83,81,76,59,80,86,70,89
300,0.00428516,1574,61,81,75,84,82,72,84,96,80,80,74,81,83,81,76,59,80,86,70,89
400,0.00394004,1573,61,81,75,84,82,72,84,96,80,80,74,81,83,81,76,58,80,86,70,89
500,0.00404353,1569,61,81,75,83,82,72,83,96,80,80,74,81,82,81,76,57,80,86,70,89
600,0.00404353,1569,61,81,75,83,82,72,83,96,80,80,74,81,82,81,76,57,80,86,70,89
700,0.00521571,1567,60,80,75,83,82,72,83,96,80,80,74,81,82,81,76,57,80,86,70,89
800,0.00397049,1564,60,80,75,83,82,72,83,96,80,80,74,81,82,81,75,57,79,86,69,89
900,0.00306235,1559,60,79,75,83,82,72,83,97,80,80,73,81,81,81,73,57,79,85,69,89
1000,0.00334383,1557,60,79,75,83,82,72,83,95,80,80,73,81,81,81,73,57,79,85,69,89
