update,host_square_frequencies
0,
100,4: 42; 9: 1; 16: 70; 25: 1; 64: 3; 576: 1; 1024: 2; 1600: 1; 65536: 2; 509796: 1; 1073741824: 4; 2626972516: 1; 4294705156: 1; 
200,4: 76; 9: 1; 16: 240; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 509796: 1; 1073741824: 9; 1679442361: 1; 2626972516: 1; 3980474281: 1; 4294705156: 2; 
300,4: 113; 9: 1; 16: 411; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 509796: 1; 12988816: 1; 1073741824: 21; 1679442361: 1; 2626972516: 1; 3980474281: 1; 4294705156: 4; 
400,4: 146; 9: 1; 16: 581; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 509796: 1; 12988816: 1; 159542161: 1; 261242569: 1; 1073741824: 38; 1679442361: 1; 2626972516: 1; 3980474281: 1; 4147360000: 1; 4294705156: 5; 
500,4: 180; 9: 1; 16: 752; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 509796: 1; 12988816: 1; 159542161: 1; 261242569: 1; 670861801: 1; 1073741824: 55; 1679442361: 1; 2626972516: 1; 3980474281: 1; 4147360000: 1; 4294705156: 6; 
600,4: 213; 9: 1; 16: 924; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 509796: 1; 12988816: 1; 106523041: 1; 124010496: 1; 159542161: 1; 261242569: 1; 670861801: 1; 801059809: 1; 891858496: 1; 1073741824: 68; 1183360000: 1; 1467043204: 1; 1679442361: 1; 2626972516: 1; 3980474281: 1; 4147360000: 1; 4294705156: 8; 
700,4: 248; 9: 1; 16: 1094; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 509796: 1; 12988816: 1; 27846729: 1; 106523041: 1; 115906756: 1; 124010496: 1; 159542161: 1; 261242569: 1; 670861801: 1; 801059809: 1; 891858496: 1; 1073741824: 85; 1183360000: 1; 1467043204: 1; 1679442361: 1; 2626972516: 1; 3980474281: 1; 4147360000: 1; 4294705156: 9; 
800,4: 282; 9: 3; 16: 1267; 25: 3; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 509796: 1; 12988816: 1; 27846729: 1; 106523041: 1; 115906756: 1; 124010496: 1; 159542161: 1; 261242569: 1; 670861801: 1; 801059809: 1; 891858496: 1; 1073741824: 99; 1183360000: 1; 1467043204: 1; 1679442361: 1; 2626972516: 1; 3980474281: 1; 4147360000: 1; 4294705156: 10; 
900,4: 315; 9: 3; 16: 1438; 25: 3; 36: 2; 49: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 509796: 1; 12988816: 1; 27846729: 1; 106523041: 1; 115906756: 1; 124010496: 1; 159542161: 1; 261242569: 1; 670861801: 1; 801059809: 1; 891858496: 1; 1073741824: 116; 1183360000: 1; 1467043204: 1; 1679442361: 1; 2626972516: 1; 3980474281: 1; 4147360000: 1; 4294705156: 12; 
1000,4: 348; 9: 4; 16: 1608; 25: 3; 36: 2; 49: 2; 64: 6; 576: 1; 1024: 2; 1600: 1; 65536: 2; 509796: 1; 12988816: 1; 27846729: 1; 106523041: 1; 115906756: 1; 124010496: 1; 159542161: 1; 261242569: 1; 670861801: 1; 801059809: 1; 891858496: 1; 1073741824: 136; 1183360000: 1; 1467043204: 1; 1679442361: 1; 2626972516: 1; 3191572036: 1; 3980474281: 1; 4147360000: 1; 4294705156: 13; 
