update,mean_intval,count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,-0.00807953,1579,85,90,82,85,80,75,84,71,69,63,75,84,76,71,87,84,88,76,70,84
100,-0.0079794,1577,85,90,82,84,80,75,84,71,69,63,75,84,76,71,86,84,88,76,70,84
200,-0.00740943,1577,84,90,82,84,80,75,84,71,69,64,75,84,76,71,86,84,88,76,70,84
300,-0.00712933,1574,84,89,82,84,80,75,84,71,69,64,74,84,75,71,86,84,88,76,70,84
400,-0.00818509,1572,84,89,82,84,80,75,84,71,69,64,74,84,75,71,86,84,88,75,70,83
500,-0.00868457,1569,84,89,82,84,80,75,84,70,69,64,74,83,75,71,86,84,88,75,69,83
600,-0.00862299,1567,84,89,82,84,80,75,84,69,69,64,74,82,75,71,86,84,88,75,69,83
700,-0.00846895,1567,84,89,82,84,80,75,83,69,69,65,74,82,75,71,86,84,88,75,69,83
800,-0.00805827,1566,84,89,82,83,80,75,83,69,69,65,74,82,75,71,86,84,88,75,69,83
900,-0.00826565,1564,84,89,82,83,79,75,83,69,69,66,74,82,75,70,85,84,88,75,69,83
1000,-0.00856795,1561,84,89,82,83,79,74,83,69,69,66,74,82,74,70,85,84,87,75,69,83
