update,host_square_frequencies
0,
100,4: 42; 9: 1; 16: 102; 25: 1; 64: 3; 576: 1; 1024: 2; 1600: 1; 65536: 2; 1073741824: 4; 1401229489: 1; 1702222564: 1; 1802172304: 1; 3085135936: 1; 4294705156: 1; 
200,4: 76; 9: 1; 16: 272; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 258855921: 1; 1073741824: 7; 1401229489: 1; 1702222564: 1; 1802172304: 1; 3085135936: 1; 3533113600: 1; 4294705156: 2; 
300,4: 109; 9: 1; 16: 444; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 81306289: 1; 258855921: 1; 1064390625: 1; 1073741824: 22; 1401229489: 1; 1702222564: 1; 1774262884: 1; 1802172304: 1; 3085135936: 1; 3265436736: 1; 3533113600: 1; 4294705156: 4; 
400,4: 142; 9: 1; 16: 614; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 81306289: 1; 258855921: 1; 1064390625: 1; 1073741824: 35; 1401229489: 1; 1702222564: 1; 1774262884: 1; 1802172304: 1; 2984546161: 1; 3085135936: 1; 3265436736: 1; 3533113600: 1; 4294705156: 5; 
500,4: 176; 9: 1; 16: 785; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 81306289: 1; 215854864: 1; 258855921: 1; 377291776: 1; 1064390625: 1; 1073741824: 48; 1401229489: 1; 1702222564: 1; 1774262884: 1; 1802172304: 1; 2718162496: 1; 2984546161: 1; 3085135936: 1; 3265436736: 1; 3533113600: 1; 4294705156: 6; 
600,4: 209; 9: 4; 16: 956; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 2452356: 1; 3006756: 1; 81306289: 1; 215854864: 1; 258855921: 1; 299705344: 1; 377291776: 1; 1064390625: 1; 1073741824: 59; 1401229489: 1; 1702222564: 1; 1774262884: 1; 1802172304: 1; 2718162496: 1; 2984546161: 1; 3085135936: 1; 3265436736: 1; 3533113600: 1; 4294705156: 8; 
700,4: 242; 9: 20; 16: 1126; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 2452356: 1; 3006756: 1; 81306289: 1; 215854864: 1; 258855921: 1; 299705344: 1; 374538609: 1; 377291776: 1; 945070564: 1; 1064390625: 1; 1073741824: 71; 1401229489: 1; 1702222564: 1; 1774262884: 1; 1802172304: 1; 2718162496: 1; 2984546161: 1; 3085135936: 1; 3265436736: 1; 3533113600: 1; 4294705156: 9; 
800,4: 277; 9: 36; 16: 1297; 25: 2; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 2452356: 1; 3006756: 1; 27962944: 1; 81306289: 1; 215854864: 1; 258855921: 1; 299705344: 1; 374538609: 1; 377291776: 1; 945070564: 1; 1064390625: 1; 1073741824: 84; 1401229489: 1; 1702222564: 1; 1774262884: 1; 1802172304: 1; 2718162496: 1; 2984546161: 1; 3085135936: 1; 3265436736: 1; 3533113600: 1; 4294705156: 10; 
900,4: 310; 9: 52; 16: 1469; 25: 2; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 2452356: 1; 3006756: 1; 27962944: 1; 81306289: 1; 215854864: 1; 258855921: 1; 299705344: 1; 374538609: 1; 377291776: 1; 945070564: 1; 1064390625: 1; 1073741824: 94; 1401229489: 1; 1702222564: 1; 1774262884: 1; 1802172304: 1; 1846936576: 1; 2718162496: 1; 2984546161: 1; 3085135936: 1; 3265436736: 1; 3533113600: 1; 4294705156: 12; 
1000,4: 343; 9: 68; 16: 1639; 25: 2; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 2452356: 1; 3006756: 1; 27962944: 1; 81306289: 1; 215854864: 1; 258855921: 1; 299705344: 1; 374538609: 1; 377291776: 1; 945070564: 1; 1064390625: 1; 1073741824: 107; 1401229489: 1; 1592967744: 1; 1702222564: 1; 1774262884: 1; 1802172304: 1; 1846936576: 1; 2718162496: 1; 2984546161: 1; 3085135936: 1; 3171942400: 1; 3265436736: 1; 3453912900: 1; 3533113600: 1; 4294705156: 13; 
