update,mean_intval,count,uninfected_host_count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,-0.0136155,2500,927,136,117,125,135,155,126,130,123,112,130,108,130,110,116,124,127,113,128,125,130
100,-0.0144344,2500,925,137,117,125,136,155,125,130,123,112,130,109,129,110,116,124,127,113,127,125,130
200,-0.0149419,2500,924,138,117,124,137,154,125,130,123,112,130,110,129,110,116,124,127,113,127,125,129
300,-0.0156548,2500,925,139,117,124,138,154,125,129,123,112,130,111,128,110,115,124,127,113,127,125,129
400,-0.0165391,2500,923,140,117,123,139,154,125,129,123,112,130,112,128,110,115,123,127,113,127,124,129
500,-0.0178291,2500,922,142,117,123,141,152,124,129,123,112,129,114,128,110,115,123,127,113,126,123,129
600,-0.0181963,2500,921,143,116,123,142,152,123,128,123,112,129,116,128,110,115,123,127,113,126,123,128
700,-0.0190206,2500,921,144,116,123,143,152,123,128,123,112,128,116,128,110,115,122,127,113,126,123,128
800,-0.0188489,2500,922,143,116,123,144,152,123,127,123,112,128,118,127,110,115,122,127,113,126,123,128
900,-0.0200858,2500,922,145,115,123,146,152,123,127,123,111,127,118,127,110,115,122,127,113,126,122,128
1000,-0.0209505,2500,921,146,115,123,147,152,121,127,123,111,127,120,127,110,115,122,126,113,126,122,127
