update,host_square_frequencies
0,
100,4: 42; 9: 1; 16: 70; 25: 1; 64: 3; 576: 1; 1024: 2; 1600: 1; 65536: 2; 509796: 1; 1073741824: 3; 2626972516: 1; 4294705156: 1; 
200,4: 76; 9: 1; 16: 240; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 509796: 1; 1073741824: 3; 2626972516: 1; 4294705156: 2; 
300,4: 113; 9: 1; 16: 411; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 509796: 1; 131836324: 1; 1073741824: 3; 2626972516: 1; 4294705156: 4; 
400,4: 146; 9: 1; 16: 581; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 509796: 1; 131836324: 1; 1073741824: 3; 1215777424: 1; 2626972516: 1; 4294705156: 5; 
500,4: 180; 9: 1; 16: 752; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 509796: 1; 95218564: 1; 131836324: 1; 670861801: 1; 1073741824: 3; 1215777424: 1; 2626972516: 1; 3050242441: 1; 4294705156: 6; 
600,4: 213; 9: 1; 16: 924; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 509796: 1; 95218564: 1; 131836324: 1; 171819664: 1; 670861801: 1; 1073741824: 3; 1215777424: 1; 2626972516: 1; 3050242441: 1; 4294705156: 8; 
700,4: 246; 9: 1; 16: 1094; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 509796: 1; 95218564: 1; 131836324: 1; 171819664: 1; 670861801: 1; 1073741824: 3; 1215777424: 1; 2626972516: 1; 3050242441: 1; 3681576976: 1; 4294705156: 9; 
800,4: 281; 9: 1; 16: 1265; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 509796: 1; 95218564: 1; 131836324: 1; 171819664: 1; 670861801: 1; 1073741824: 3; 1152059364: 1; 1215777424: 1; 2626972516: 1; 3050242441: 1; 3681576976: 1; 4294705156: 10; 
900,4: 314; 9: 1; 16: 1436; 25: 1; 64: 6; 576: 1; 1024: 2; 1600: 1; 65536: 2; 509796: 1; 95218564: 1; 131836324: 1; 171819664: 1; 670861801: 1; 1073741824: 3; 1152059364: 1; 1215777424: 1; 2626972516: 1; 3050242441: 1; 3681576976: 1; 4294705156: 12; 
1000,4: 347; 9: 1; 16: 1606; 25: 1; 64: 10; 576: 1; 1024: 2; 1600: 1; 65536: 2; 509796: 1; 95218564: 1; 131836324: 1; 171819664: 1; 533332836: 1; 670861801: 1; 801512721: 1; 1073741824: 3; 1152059364: 1; 1215777424: 1; 2536331044: 1; 2626972516: 1; 3050242441: 1; 3681576976: 1; 4294705156: 13; 
