update,mean_intval,count,uninfected_host_count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,-0.0136155,2500,927,136,117,125,135,155,126,130,123,112,130,108,130,110,116,124,127,113,128,125,130
100,-0.0144751,2500,929,137,117,125,136,155,126,130,123,111,130,109,129,110,116,123,127,113,128,125,130
200,-0.0153639,2500,929,138,117,125,137,155,125,130,123,111,130,110,128,110,116,123,127,113,128,125,129
300,-0.0161723,2500,933,140,117,125,138,154,125,130,123,110,129,111,127,110,116,123,127,113,128,125,129
400,-0.0180284,2500,936,143,116,124,140,154,125,130,123,110,129,112,126,110,116,122,126,113,127,125,129
500,-0.0211224,2500,940,147,116,124,144,152,125,130,123,110,128,113,125,108,116,121,125,113,126,125,129
600,-0.0232752,2500,942,151,115,124,146,152,124,129,123,110,128,113,125,108,115,120,125,113,126,124,129
700,-0.0250509,2500,946,154,115,124,147,152,124,128,122,110,128,113,125,108,115,119,125,113,126,124,128
800,-0.0248426,2500,949,153,115,124,148,152,124,127,122,110,128,114,125,108,115,119,125,113,126,124,128
900,-0.0263259,2500,955,155,113,124,151,152,124,127,122,109,128,115,124,108,115,118,125,113,126,123,128
1000,-0.0273773,2500,957,156,113,124,153,152,123,127,122,109,128,115,123,108,115,118,124,113,126,123,128
