update,mean_intval,count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,-0.0103055,1582,73,80,90,83,79,63,76,89,82,80,74,77,104,71,92,76,77,73,79,64
100,-0.010323,1580,73,80,90,83,78,63,76,89,82,80,74,77,104,71,92,75,77,73,79,64
200,-0.0100943,1578,73,79,90,83,78,63,76,89,82,80,74,77,104,71,91,75,77,73,79,64
300,-0.0106437,1577,73,79,90,83,78,63,76,89,82,80,74,77,104,71,91,75,77,73,78,64
400,-0.011241,1576,73,80,90,83,78,63,76,88,82,80,74,77,104,70,91,75,77,73,78,64
500,-0.00975388,1572,72,80,89,83,77,63,76,88,82,79,74,77,104,70,91,75,77,73,78,64
600,-0.0102538,1570,72,80,89,83,77,63,76,88,82,79,74,77,104,69,90,75,77,73,78,64
700,-0.0103511,1567,72,80,89,83,77,62,76,87,82,79,74,77,104,69,90,75,77,73,77,64
800,-0.0103147,1565,72,80,89,83,77,61,76,87,82,79,74,77,104,68,90,75,77,73,77,64
900,-0.0115971,1561,72,81,89,83,76,61,76,87,82,79,73,77,104,67,90,74,77,72,77,64
1000,-0.0110894,1560,72,80,89,83,76,61,76,87,82,79,73,77,104,67,90,74,77,72,77,64
