update,host_square_frequencies
0,
100,4: 42; 9: 1; 16: 86; 25: 1; 64: 3; 576: 1; 1024: 2; 1600: 1; 65536: 2; 1073741824: 3; 4294705156: 1; 
200,4: 77; 9: 1; 16: 257; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 94148209: 1; 214212496: 1; 699496704: 1; 1073741824: 3; 4294705156: 2; 
300,4: 110; 9: 1; 16: 428; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 94148209: 1; 214212496: 1; 699496704: 1; 1073741824: 3; 4294705156: 4; 
400,4: 143; 9: 1; 16: 598; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 617796: 1; 7606564: 1; 36000000: 1; 94148209: 1; 214212496: 1; 699496704: 1; 1073741824: 3; 4294705156: 5; 
500,4: 177; 9: 1; 16: 769; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 617796: 1; 7606564: 1; 21436900: 1; 36000000: 1; 94148209: 1; 179024400: 1; 214212496: 1; 699496704: 1; 1073741824: 3; 2541773056: 1; 4294705156: 6; 
600,4: 210; 9: 1; 16: 940; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 617796: 1; 7606564: 1; 21436900: 1; 36000000: 1; 94148209: 1; 179024400: 1; 214212496: 1; 699496704: 1; 801059809: 1; 1073741824: 3; 2541773056: 1; 4294705156: 8; 
700,4: 243; 9: 1; 16: 1111; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 617796: 1; 7606564: 1; 21436900: 1; 36000000: 1; 94148209: 1; 179024400: 1; 214212496: 1; 699496704: 1; 801059809: 1; 1073741824: 3; 2541773056: 1; 2690704384: 1; 4294705156: 9; 
800,4: 277; 9: 1; 16: 1282; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 617796: 1; 7606564: 1; 21436900: 1; 36000000: 1; 94148209: 1; 179024400: 1; 195440400: 1; 214212496: 1; 699496704: 1; 801059809: 1; 1073741824: 3; 2541773056: 1; 2619187684: 1; 2690704384: 1; 4294705156: 10; 
900,4: 310; 9: 1; 16: 1453; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 617796: 1; 7606564: 1; 21436900: 1; 36000000: 1; 94148209: 1; 179024400: 1; 195440400: 1; 214212496: 1; 699496704: 1; 801059809: 1; 1073741824: 3; 1366854841: 1; 1885643776: 1; 2541773056: 1; 2619187684: 1; 2690704384: 1; 4294705156: 12; 
1000,4: 343; 9: 1; 16: 1623; 25: 1; 64: 4; 576: 1; 1024: 2; 1600: 1; 65536: 2; 617796: 1; 7606564: 1; 21436900: 1; 36000000: 1; 94148209: 1; 179024400: 1; 195440400: 1; 214212496: 1; 405377956: 1; 699496704: 1; 801059809: 1; 1073741824: 3; 1366854841: 1; 1885643776: 1; 2541773056: 1; 2619187684: 1; 2690704384: 1; 4294705156: 13; 
