update,host_task_SQU,sym_task_SQU,host_largest_value_SQU,sym_largest_value_SQU
0,0,0,0,0
100,164,23,4.29484e+09,4.29484e+09
200,211,9,4.29484e+09,4.29484e+09
300,226,10,4.29484e+09,4.29484e+09
400,218,12,4.29484e+09,4.29484e+09
500,222,8,4.29484e+09,4.29484e+09
600,223,9,4.29484e+09,4.29484e+09
700,234,8,4.29484e+09,4.29484e+09
800,238,1,4.29471e+09,4.29484e+09
900,234,3,4.29471e+09,2.27033e+09
1000,236,3,4.29471e+09,1.12694e+09
