update,mean_intval,count,uninfected_host_count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.00899631,2500,918,135,120,127,112,125,135,117,124,114,108,131,137,110,120,136,126,121,142,137,123
100,0.00837385,2500,920,135,121,127,111,126,135,117,124,114,108,132,136,110,120,136,126,121,141,137,123
200,0.00768892,2500,922,135,122,127,111,126,135,117,124,114,107,133,136,110,120,136,126,121,141,137,122
300,0.00681954,2500,923,135,123,127,111,127,135,117,124,114,106,134,136,109,120,136,125,121,141,137,122
400,0.0067325,2500,924,133,124,127,111,128,135,117,124,114,106,135,136,109,120,136,125,121,141,136,122
500,0.00518209,2500,928,133,126,127,111,130,135,117,124,113,105,136,135,109,119,136,125,121,140,136,122
600,0.00412509,2500,930,134,126,127,111,131,135,117,124,113,105,137,135,107,119,136,125,121,139,136,122
700,0.00386069,2500,933,134,126,127,110,132,135,117,124,113,105,138,135,107,119,136,125,121,138,136,122
800,0.00369007,2500,935,133,127,126,110,133,135,117,124,113,105,139,135,107,119,136,125,120,138,136,122
900,0.00297377,2500,939,133,129,126,110,135,134,114,124,113,105,141,134,107,118,136,125,120,138,136,122
1000,0.00220939,2500,940,133,130,126,110,136,133,114,124,113,105,141,134,107,118,136,125,120,138,136,121
