update,host_task_SQU,sym_task_SQU,largest_value_SQU
0,0,0,0
100,150,16,2.68378e+11
200,194,6,4.29471e+11
300,207,2,4.29471e+11
400,207,3,4.29471e+11
500,209,1,4.29471e+11
600,207,1,4.29471e+11
700,223,1,4.29471e+11
800,241,1,4.29471e+11
900,240,3,4.29471e+11
1000,241,2,4.29471e+11
