update,mean_intval,count,uninfected_host_count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,-0.0139619,2500,920,132,137,126,136,125,116,121,138,115,119,122,147,122,117,112,123,120,133,121,118
100,-0.0140533,2500,920,132,136,126,136,125,116,121,139,115,120,122,147,122,117,112,123,120,133,120,118
200,-0.014787,2500,918,132,136,127,136,125,116,121,140,115,121,121,147,122,117,110,123,120,133,120,118
300,-0.0153742,2500,917,131,136,128,136,125,116,121,141,115,122,121,147,122,117,110,123,119,132,120,118
400,-0.0158687,2500,918,131,136,129,136,125,115,121,142,115,123,121,146,122,117,110,122,119,132,120,118
500,-0.0157305,2500,920,130,135,131,136,125,114,121,143,114,125,121,146,122,117,109,122,119,132,120,118
600,-0.0157877,2500,920,129,135,131,136,125,114,121,144,114,126,121,146,122,117,109,122,119,132,120,117
700,-0.015765,2500,919,128,135,131,136,125,114,121,145,114,127,121,146,122,117,109,122,118,132,120,117
800,-0.0163898,2500,920,128,135,132,136,125,114,120,146,114,128,121,146,122,116,109,122,117,132,120,117
900,-0.0180978,2500,921,128,135,134,136,125,114,120,148,113,129,121,146,122,115,109,121,117,132,118,117
1000,-0.0177177,2500,921,126,135,135,136,125,114,120,149,113,129,121,146,122,115,109,121,117,132,118,117
