update,mean_intval,count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.00284156,1573,83,75,72,72,75,96,78,79,73,74,94,84,72,68,78,68,90,88,75,79
100,0.00351465,1575,83,75,72,72,75,96,78,79,73,74,94,84,72,68,79,68,91,88,75,79
200,0.00469452,1576,83,75,71,72,75,96,78,79,73,74,94,84,72,68,80,68,92,88,75,79
300,0.00437727,1575,83,75,71,72,75,96,78,79,73,74,93,84,72,68,81,67,93,88,75,78
400,0.00590756,1577,83,75,70,72,75,96,78,79,73,74,93,84,72,68,82,67,95,88,75,78
500,0.00706362,1578,82,75,70,72,75,96,78,79,73,74,93,84,72,68,84,66,96,88,75,78
600,0.00820403,1579,82,75,70,72,74,96,78,79,73,74,93,84,72,68,84,66,98,88,75,78
700,0.00852593,1579,82,75,70,72,74,96,78,79,73,74,92,84,72,68,85,65,99,88,75,78
800,0.00948304,1578,82,75,69,72,74,96,78,79,73,74,91,84,71,68,86,65,100,88,75,78
900,0.00982213,1578,82,75,69,72,74,96,78,79,72,74,91,83,71,68,88,65,101,88,75,77
1000,0.0108291,1579,82,75,69,72,74,96,77,79,72,74,91,83,71,68,88,65,103,88,75,77
