update,mean_intval,count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,0.0063112,1580,79,80,68,88,79,73,84,77,75,78,81,73,81,88,70,88,68,85,87,78
100,0.00607517,1580,79,81,68,88,79,72,84,77,75,78,81,73,81,88,70,88,68,85,87,78
200,0.00611593,1582,79,82,68,88,79,72,84,77,75,78,81,73,81,88,70,88,68,85,88,78
300,0.00559212,1583,79,83,68,88,79,72,84,77,75,78,81,73,81,88,70,88,68,85,88,78
400,0.00537067,1582,78,84,68,88,79,72,84,77,75,78,81,73,81,88,70,87,68,85,88,78
500,0.00634334,1580,78,84,68,88,79,71,84,77,75,76,81,73,81,88,70,87,68,85,89,78
600,0.00609626,1580,78,85,68,88,79,70,84,77,75,76,81,73,81,88,70,87,68,85,89,78
700,0.0055718,1581,78,86,68,88,79,70,84,77,75,76,81,73,81,88,70,87,68,85,89,78
800,0.00497035,1580,78,87,68,88,79,70,84,76,75,76,81,73,81,87,70,87,68,85,89,78
900,0.00534877,1579,78,89,68,86,79,70,84,76,74,76,81,73,81,86,70,87,67,85,91,78
1000,0.00496049,1579,78,90,68,86,79,70,84,75,74,76,81,73,81,86,70,87,67,85,91,78
