update,mean_intval,count,uninfected_host_count,Hist_-1,Hist_-0.9,Hist_-0.8,Hist_-0.7,Hist_-0.6,Hist_-0.5,Hist_-0.4,Hist_-0.3,Hist_-0.2,Hist_-0.1,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
0,-0.00758029,2500,917,124,144,137,116,122,116,113,142,129,121,115,123,147,118,107,120,123,149,112,122
100,-0.00750463,2500,916,124,144,137,117,121,116,113,141,129,122,115,123,147,118,107,120,122,150,112,122
200,-0.00799372,2500,915,124,144,137,118,121,116,113,141,129,123,115,123,145,118,107,120,122,150,112,122
300,-0.00758307,2500,913,124,143,137,119,120,116,113,141,129,124,115,123,145,118,106,120,122,151,112,122
400,-0.00684918,2500,911,124,143,137,118,120,116,112,141,129,125,115,123,145,118,106,120,122,152,112,122
500,-0.00636166,2500,910,124,142,137,119,120,115,112,140,129,127,115,123,145,117,106,120,122,153,112,122
600,-0.00625525,2500,911,123,142,137,120,120,115,112,140,129,128,114,123,145,117,106,120,122,153,112,122
700,-0.00621596,2500,909,122,142,137,121,120,115,112,140,129,129,113,123,145,117,106,120,122,154,112,121
800,-0.00707225,2500,910,122,142,137,122,120,115,112,140,129,130,113,123,145,117,106,119,122,155,111,120
900,-0.00704003,2500,910,122,141,137,124,120,115,110,140,128,134,113,123,144,117,106,116,122,157,111,120
1000,-0.00780606,2500,910,122,141,137,124,120,115,110,140,128,136,113,123,144,117,106,116,122,158,109,119
